Seq	sampleID	sampleID_ss	sampleID_ss_mean	sampleID_nonss_mean	Cruise	Station	yyyy-mm-ddThh:mm:ss.sss	Date_mm/dd/yy	Latitude_degrees_north	Longitude_degrees_east	Bot_Depth_m	DEPTH_M	depthbin	Pressure	CTD-S	CTD-T	Potemp090C	CTD-O2	Oxsatperc	CTD-fluo	Turbidity	sigma	percChl_a_10	Chl_a	Chl_a_AVG	Chl_a_10um	Chla10_AVG	Phaeop_AVG	Phaeop_SD	TOC_uM	TOC_ug	TN_uM	TON_uM	TON_ug	TOC:TON	NH4_uM	NO2_uM	NO3+NO2_uM	Total_inorgN_uM	PO4_uM	SiOH4_uM	POC_ug	sd_POC_ug	POC_uM	PON_ug	sd_PON_ug	PON_uM	POC:PON	DOC_uM	DOC_ug	DON_uM	DON_ug	DON/TN	DOC:DON	BP_ug	sd_BP	BR	BCD	Picophytoeukaryotes	Nanophytoplankton	Large_Nanphyto	Small_Nanophyto	Synechococcus	Phaeocystis	Cryptophytes	Dead_phyto	Bacteria	HNA_bacteria	Small_virus	Medium_virus	Large_virus	Total_virus	HNA:LNA_bacteria	smallVirus:Bacteria	HNF	Large_HNF	HNA_Bac_from_HNF_plot	LysoTrack_HNF	Humic_Fl_A_RU	Humic_FL_C_RU	Humic_Fl_M_RU	Aminoacid_Fl_T_RU	Fluorescence_Index	a255_m-1	a300_m-1	a351_m-1	a375_m-1	S300-650nm__um-1	R2_of_slope_fit_300-650	S275-295nm__um-1	S300-450nm__um-1
177	MP3_D*_30m	MP3_D*_30m_ss	MP3_D*_30m_ss_mean	MP3_D*_30m_nonss_mean	MP3	D*	2014-05-25T10:48:00	17.05.14	79.002	5.003	2402	30	epi	29.176	34.8165	1.6631	1.6617	5.87328	7.7126	0.6526	0.086	27.8509								65.9	790.8	13.5	3.7	51.8	17.8	0.25		9.55	9.8	0.79	5.57																		2334.001	316.975	18.528	298.447	42.564	120.681	4.507		2.19E+04	8.22E+03	1.62E+05	1.03E+05	1.95E+04	2.85E+05	0.6	7.42	223.447	24.549	5410.822		0.022476681	0.012589462	0.019961408	0.037519874	1.772065858	1.833369	0.801625	0.225875	0.14527		0.979044	16.513394	18.745027
178	MP3_D*_20m	MP3_D*_20m_ss	MP3_D*_20m_ss_mean	MP3_D*_20m_nonss_mean	MP3	D*	2014-05-25T10:48:00	17.05.14	79.002	5.003	2402	20	epi	19.895	34.5951	0.3074	0.3067	5.73137	8.00191	0.1734	0.061	27.7626								65.7	788.4	14.4	6.4	89.3	10.3	0.44		7.58	8.02	0.75	4.36																		358.037	254.382	7.511	246.871	14.522	16.024	2.504		1.26E+04	3.95E+03	1.08E+05	1.23E+05	1.64E+04	2.47E+05	0.46	8.57	215.431	23.547	2505.511		0.023126242	0.013139431	0.020806171	0.033939496	1.818796575	2.287195	1.133392	0.467825	0.352675	15.290345	0.993098	14.915903	11.540609
179	MP3_D*_10m	MP3_D*_10m_ss	MP3_D*_10m_ss_mean	MP3_D*_10m_nonss_mean	MP3	D*	2014-05-25T10:48:00	17.05.14	79.002	5.003	2402	10	epi	10.451	33.9571	-1.2755	-1.2757	7.31174	8.38567	9.4999	0.445	27.3178								80.8	969.6	9.6	6.4	90.2	12.5	0.2		2.96	3.16	0.31	3.19																		3117.293	3422.055	438.095	2983.96	97.243	2957.895	39.599		6.17E+04	4.54E+04	1.85E+05	1.94E+05	2.63E+04	4.05E+05	2.78	3	233.968	204.409	23103.707		0.018580578	0.010130751	0.01808361	0.032404649	1.849341945	1.97331	0.883991	0.342786	0.259878	18.188742	0.990455	17.657444	11.192981
180	MP3_D*_5m	MP3_D*_5m_ss	MP3_D*_5m_ss_mean	MP3_D*_5m_nonss_mean	MP3	D*	2014-05-25T10:48:00	17.05.14	79.002	5.003	2402	5	epi	4.96	33.9312	-1.2499	-1.25	7.34611	8.38132	5.6672	0.597	27.2959								95.1	1141.2	9	7	97.3	13.7	0.16		1.89	2.05	0.22	2.32																		3480.702	5625.564	586.466	5039.098	147.87	5188.972	68.17		7.28E+04	5.67E+04	2.43E+05	1.32E+05	1.93E+04	3.95E+05	3.54	3.34	280.06	586.172	34252.004		0.01675061	0.00876658	0.015898639	0.033737215	1.751010907	2.122869	0.985187	0.448588	0.328832	14.636929	0.995321	17.132634	11.349621
181	MP3_D*_1m	MP3_D*_1m_ss	MP3_D*_1m_ss_mean	MP3_D*_1m_nonss_mean	MP3	D*	2014-05-25T10:48:00	17.05.14	79.002	5.003	2402	1	epi	2.673	33.9254	-1.2282	-1.2283	6.67906	8.37671	3.3685	5.493	27.2905								89.9	1078.8	7.5	6.2	86.9	14.5	0.31		0.98	1.29	0.2	1.82																		3515.288	3534.837	509.273	3025.564	114.286	3081.203	52.632		8.13E+04	6.30E+04	3.16E+05	1.60E+05	2.44E+04	5.01E+05	3.45	3.89	235.471	196.894	32773.547														
182	MP3_D**_1000m	MP3_D**_1000m_ss	MP3_D**_1000m_ss_mean	MP3_D**_1000m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	1000	meso	1012.375	34.9445	-0.1503	-0.1944	5.77392	8.08031	0.0374	0.041	28.0717		0.013		0.003				101.9	1222.8	14.2	0.7	9.4	151.2	0.046		13.48	13.526	1	8.27	37.86	5.58	3.15	3.5	0.73	0.25	12.6	98.75	1184.94	0.42	5.93	0.03	233.07					34.034	7.007	0	7.007	7.007	11.011	1.502		7.42E+03	2.05E+03	9.35E+04	4.75E+04	7.68E+03	1.49E+05	0.38	12.61	173.935	8.521	1543.358		0.02123812	0.012602439	0.022110591	0.037782829	1.762519362	0.1944	0.093068		0.963861	-7.873097	32.007273		
183	MP3_D**_750m	MP3_D**_750m_ss	MP3_D**_750m_ss_mean	MP3_D**_750m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	750	meso	758.93	34.983	0.6431	0.6067	5.79298	7.91064	0.0374	0.041	28.0573		0.013		0.002				61.8	741.6	15.1	1.9	26.2	33	0.059		13.17	13.229	0.96	7.21	42.8	1.82	3.57	3.75	0.81	0.27	13.31	58.23	698.8	1.6	22.44	0.11	36.33					54.582	15.023	0	15.023	16.024	13.02	0		8.78E+03	2.42E+03	1.05E+05	6.84E+04	1.11E+04	1.85E+05	0.38	12	168.337	8.517	1983.968														
184	MP3_D**_500m	MP3_D**_500m_ss	MP3_D**_500m_ss_mean	MP3_D**_500m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	500	meso	506.627	35.094	2.349	2.3187	5.78346	7.56457	0.062	0.061	28.0208		0.034		0.003				61.3	735.6	12.7	1.1	14.9	57.5	0.003		11.63	11.633	0.9	6.06	53.42	4.79	4.45	5.01	0.88	0.36	12.45	56.85	682.18	0.71	9.93	0.06	80.14					195.293	145.218	4.507	140.711	22.033	15.523	0.501		1.26E+04	3.37E+03	1.55E+05	1.05E+05	1.45E+04	2.74E+05	0.37	12.32	257.014	16.533	2712.425														
185	MP3_D**_200m	MP3_D**_200m_ss	MP3_D**_200m_ss_mean	MP3_D**_200m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	200	meso	202.588	35.1118	3.0142	3.0015	5.74235	7.43795	0.2116	0.065	27.9743		0.101		0.012				59.4	712.8	15.1	3.7	52.3	15.9	0.015		11.35	11.365	0.87	5.8	61.13	8.25	5.09	5.63	1.26	0.4	12.67	54.31	651.67	3.33	46.66	0.22	16.29					1486.974	217.435	13.527	203.908	46.593	26.553	3.507		1.76E+04	4.48E+03	1.54E+05	1.16E+05	1.81E+04	2.87E+05	0.34	8.75	208.417	16.533	3990.982		0.018390565	0.009405333	0.016858517	0.032220396	1.793679481	1.722554	1.524496	0.172635	0.098939	75.99392	0.956403	-1.887321	24.595447
186	MP3_D**_100m	MP3_D**_100m_ss	MP3_D**_100m_ss_mean	MP3_D**_100m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	100	epi	100.918	35.1102	3.1072	3.1008	5.80001	7.42075	0.2654	0.08	27.9637		0.421		0.012				59.7	716.4	14.8	4.3	60.1	13.9	0.086		10.42	10.506	0.8	5.44	85.25	8.77	7.1	8.76	0.73	0.63	11.35	52.6	631.15	3.67	51.35	0.25	14.34					2907.816	308.116	21.543	286.573	51.102	56.613	2.004		2.33E+04	6.02E+03	1.65E+05	1.45E+05	2.25E+04	3.33E+05	0.35	7.09	248.497	25.05	6019.539														
187	MP3_D**_50m	MP3_D**_50m_ss	MP3_D**_50m_ss_mean	MP3_D**_50m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	50	epi	50.179	35.0353	2.7109	2.708	5.91263	7.49865	1.1983	0.14	27.94		2.138		1.391				56.3	675.6	13.4	3.6	50.4	15.6	0.447		9.35	9.797	0.74	5.55	121.13	11.58	10.09	18.08	1.5	1.29	7.82	46.21	554.47	2.31	32.36	0.17	19.99					3967.936	1442.385	41.583	1400.802	83.667	1208.918	5.01		3.13E+04	1.09E+04	2.16E+05	1.51E+05	2.44E+04	3.91E+05	0.53	6.89	255.511	60.621	7851.202		0.0176076	0.009221636	0.016509753	0.02778907	1.713662211	1.809706	1.89722	0.188394	0.112395	93.415897	0.963439	-5.337317	22.185965
188	MP3_D**_30m	MP3_D**_30m_ss	MP3_D**_30m_ss_mean	MP3_D**_30m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	30	epi	30.89	34.9153	2.1679	2.1663	6.63329	7.60858	8.4122	0.377	27.8904		7.295		4.069				79	948	10.4	4.3	59.8	18.5	0.242		5.89	6.132	0.44	4.26	344.18	15.76	28.68	62.87	2.53	4.49	6.39	50.32	603.82	-0.22		-0.02	-225.72					5744.361	5706.266	156.391	5549.875	209.524	5379.95	33.083		5.79E+04	2.73E+04	2.58E+05	1.19E+05	1.78E+04	3.95E+05	0.89	4.46	239.98	136.774	14397.295														
189	MP3_D**_20m	MP3_D**_20m_ss	MP3_D**_20m_ss_mean	MP3_D**_20m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	20	epi	19.583	34.8893	2.0305	2.0295	6.76358	7.63661	11.62	0.406	27.8807		10.564		4.821				70.8	849.6	9.2	5.6	77.8	12.7	0.145		3.5	3.645	0.41	3.85	482.95	25.3	40.25	90.57	2.02	6.47	6.22	30.55	366.65	-0.91		-0.1	-33.43					5777.555	7290.581	203.407	7087.174	260.521	7015.03	37.074		7.06E+04	4.00E+04	2.53E+05	1.24E+05	1.65E+04	3.93E+05	1.31	3.58	238.477	319.138	20189.379		0.023361096	0.010143473	0.039454749	0.082760004	1.721639957	1.704852	2.135513	0.141115	0.081237		0.96897	-8.503592	25.956994
190	MP3_D**_10m	MP3_D**_10m_ss	MP3_D**_10m_ss_mean	MP3_D**_10m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	10	epi	11.04	34.8819	1.9858	1.9853	6.81501	7.64571	11.324	0.442	27.8783		9.612		4.27				78	936	8.8	5.4	76.1	14.3	0.092		3.27	3.362	0.56	3.68	621.33	138.7	51.78	96.25	7.64	6.88	7.53	26.22	314.67	-1.44		-0.16	-18.24					6312.625	9053.106	194.389	8858.717	287.575	8664.83	33.066		7.10E+04	4.16E+04	3.02E+05	1.21E+05	1.55E+04	4.39E+05	1.42	4.26	246.115	335.84	23189.474														
191	MP3_D**_5m	MP3_D**_5m_ss	MP3_D**_5m_ss_mean	MP3_D**_5m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	5	epi	5.452	34.8358	1.76	1.7597	7.05472	7.69244	14.064	0.496	27.859		9.899		4.404				79.6	955.2	8.3	6.3	88.1	12.6	0.064		1.94	2.004	0.31	3.45	455.46	26.2	37.96	79.92	1.29	5.71	6.65	41.64	499.74	0.59	8.22	0.07	70.91					6318.637	8171.844	304.108	7867.736	243.487	7754.008	40.581		7.23E+04	4.30E+04	2.39E+05	1.32E+05	2.03E+04	3.91E+05	1.46	3.31	322.646	122.244	26829.659		0.024578874	0.010684587	0.033631124	0.08384783	1.699400875	1.896408	2.587308	0.189885	0.146128		0.968166	-9.363069	17.457263
192	MP3_D**_3m	MP3_D**_3m_ss	MP3_D**_3m_ss_mean	MP3_D**_3m_nonss_mean	MP3	D**	2014-05-25T10:48:00	17.05.14	79	5.488	2240	3	epi	2.488	34.8327	1.7636	1.7635	7.08861	7.69189	10.454	0.516	27.8562		11.625		4.642				113.8	1365.6	6.8			#DIV/0!	0.02			0.02			570.86	2.75	47.57	105.58	1.88	7.54	6.31	66.23	794.74									6549.599	10098.196	207.415	9890.781	338.677	9698.898	42.585		6.60E+04	4.13E+04	2.27E+05	1.14E+05	1.66E+04	3.57E+05	1.67	3.44	307.615	821.142	25132.766														
193	MP3_D2_1000m	MP3_D2_1000m_ss	MP3_D2_1000m_ss_mean	MP3_D2_1000m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	1000	meso	1013.163	34.9372	-0.2784	-0.3215	5.73389	8.10835	0.0366	0.033	28.0722								67.9	814.8	14.7	0.6	8.1	117.1	0.09		14.03	14.12	0.93	6.04																		49.049	7.007	3.003	4.004	2.002	11.512	4.004		7.39E+03	1.87E+03	1.19E+05	6.92E+04	1.10E+04	1.99E+05	0.34	16.08	73.073	8.509	1213.213		0.027952992	0.014128227	0.035517804	0.091005357	1.701885915	2.598868	6.896266	0.162294	0.09781		0.987338	-17.619775	26.68757
194	MP3_D2_750m	MP3_D2_750m_ss	MP3_D2_750m_ss_mean	MP3_D2_750m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	750	meso	759.254	34.9745	0.6095	0.5733	5.67598	7.91806	0.0366	0.053	28.0526								60.9	730.8	15.9	2.4	33.3	25.6	0.2		13.32	13.52	0.84	5.42																		69.069	9.009	0.501	8.508	3.003	7.508	1.001		8.64E+03	2.13E+03	1.35E+05	8.21E+04	1.30E+04	2.30E+05	0.33	15.63	111.612	13.013	1728.228		0.023998094	0.01235515	0.026544506	0.057572815	1.73355649	1.869855	3.399047	0.163332	0.103454		0.98059	-13.528284	21.278335
195	MP3_D2_500m	MP3_D2_500m_ss	MP3_D2_500m_ss_mean	MP3_D2_500m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	500	meso	506.396	35.0658	2.1418	2.1124	5.72259	7.60595	0.071	0.069	28.0153								62.9	754.8	14.2	1	14	62.9	0.02		13.18	13.2	0.74	4.6																		514.515	172.673	6.507	166.166	21.522	14.515	1.502		1.27E+04	3.16E+03	2.03E+05	1.13E+05	1.37E+04	3.29E+05	0.33	15.99	207.811	18.528	2696.545		0.026022204	0.012892434	0.027242113	0.065230509	12.10802805	1.660734	2.268726	0.152269	0.101603		0.969485	-9.647327	20.612632
196	MP3_D2_200m	MP3_D2_200m_ss	MP3_D2_200m_ss_mean	MP3_D2_200m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	200	meso	201.929	35.1143	3.051	3.0382	5.7997	7.43098	0.6242	0.084	27.9728								73.3	879.6	12.3	1	13.6	75.6	0.31		11.02	11.33	0.69	4.23																		3634.269	380.261	48.096	332.165	70.14	45.09	6.012		2.41E+04	5.93E+03	2.60E+05	1.22E+05	1.43E+04	3.95E+05	0.33	10.79	154.154	27.528	5810.811		0.07920778	0.047821859	0.069205884	0.049766822	1.812255538	1.803249	1.621312	0.216482	0.140483		0.939702	-2.106211	20.635708
197	MP3_D2_100m	MP3_D2_100m_ss	MP3_D2_100m_ss_mean	MP3_D2_100m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	100	epi	100.341	35.1284	3.2443	3.2379	5.7374	7.39449	0.1764	0.072	27.9652								115.9	1390.8	11.5	2	27.3	59.4	0		9.55	9.55	0.82	4.71																		1529.53	248.248	14.515	233.733	62.062	38.038	2.002		2.18E+04	5.28E+03	2.50E+05	1.31E+05	1.56E+04	3.96E+05	0.32	11.47	191.692	16.016	3667.668		0.029734397	0.016789257	0.030694849	0	1.861432868	1.479474	1.203114	0.134522	0.083856		0.946971	-0.114172	21.770961
198	MP3_D2_50m	MP3_D2_50m_ss	MP3_D2_50m_ss_mean	MP3_D2_50m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	50	epi	50.024	35.134	3.3311	3.3279	5.78122	7.37826	0.4426	0.092	27.9609								63.9	766.8	9.9	0.5	6.3	142	0.07		9.38	9.45	0.77	4.64																		6588.677	766.032	77.655	688.377	171.844	168.838	14.529		3.01E+04	7.89E+03	2.24E+05	1.40E+05	1.91E+04	3.82E+05	0.36	7.43	300.45	35.053	8568.353		0.023091226	0.011843682	0.023184713	0.038959329	1.763706115	1.437478	1.002211	0.124768	0.071799		0.94469	3.629715	26.421149
199	MP3_D2_30m	MP3_D2_30m_ss	MP3_D2_30m_ss_mean	MP3_D2_30m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	30	epi	30.132	35.1346	3.3385	3.3366	5.81998	7.37686	0.3962	0.093	27.9605								69.9	838.8	11.9	2.6	36.8	26.6	0.01		9.26	9.27	0.81	4.69																		6763.026	706.914	87.174	619.74	163.828	97.695	18.537		2.99E+04	7.25E+03	2.70E+05	1.51E+05	2.13E+04	4.42E+05	0.32	9.03	207.207	33.534	8986.987		0.085136296	0.052479165	0.074937451	0.041608959	1.879016954	1.745764	1.204559	0.218875	0.140573		0.951438	4.029831	18.356955
200	MP3_D2_20m	MP3_D2_20m_ss	MP3_D2_20m_ss_mean	MP3_D2_20m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	20	epi	19.879	35.1346	3.3413	3.34	5.7965	7.37635	0.3611	0.122	27.9603								103.6	1243.2	12.1	2.6	36.7	39.5	0		9.48	9.48	0.83	4.67																		7173.848	640.782	77.655	563.127	170.341	38.076	17.034		3.12E+04	7.52E+03	2.47E+05	1.42E+05	2.13E+04	4.10E+05	0.32	7.91	134.702	19.529	8730.095		0.026298512	0.013488921	0.024534351	0.029182649	1.888753038	1.411287	0.916142	0.135425	0.084759		0.941819	5.226454	20.742031
201	MP3_D2_10m	MP3_D2_10m_ss	MP3_D2_10m_ss_mean	MP3_D2_10m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	10	epi	10.604	35.1346	3.3482	3.3475	5.81595	7.37508	0.1899	0.095	27.9596								66.6	799.2	13.8	4.7	65.5	14.2	0.03		9.09	9.12	0.76	4.73																		6745.992	865.23	93.186	772.044	191	504.008	23.046		2.92E+04	7.24E+03	2.75E+05	1.39E+05	2.24E+04	4.36E+05	0.33	9.43	364.046	39.059	8341.012		0.028189427	0.014741587	0.026628134	0.041861995	1.742776267	1.485887	1.398373	0.134026	0.092572		0.953675	-3.067133	20.19749
202	MP3_D2_5m	MP3_D2_5m_ss	MP3_D2_5m_ss_mean	MP3_D2_5m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	5	epi	4.7	35.1352	3.3493	3.349	5.81101	7.37486	0.1832	0.115	27.9598								70	840	12.2	2.5	34.9	28.1	0.07		9.64	9.71	0.69	4.8																		6737.845	721.805	84.712	637.093	194	208.02	14.536		2.80E+04	6.39E+03	2.18E+05	1.29E+05	1.95E+04	3.66E+05	0.29	7.77	388.889	28.028	8577.578		0.024152332	0.012839561	0.022797698	0.025055489	1.844562833	1.393496	1.001986	0.129149	0.083089		0.948694	3.388925	20.173675
203	MP3_D2_3m	MP3_D2_3m_ss	MP3_D2_3m_ss_mean	MP3_D2_3m_nonss_mean	MP3	D2	2014-05-25T10:48:00	17.05.14	79	5.984	1854	3	epi	2.014	35.1344	3.373	3.3729	5.8043	7.37054	0.4388	0.162	27.9569								62	744	14.1	4	56.4	15.4	0.33		9.74	10.07	0.78	4.77																		6702.256	691.228	76.19	615.038	209	169.424	12.531		2.84E+04	6.47E+03	2.34E+05	1.32E+05	1.98E+04	3.85E+05	0.29	8.23	330.326	41.103	8615.539		0.034469494	0.019913373	0.03236142	0.03227441	1.851371441	1.643258	1.735378	0.141702	0.08643		0.955135	-5.574638	24.282442
204	MP3_D3_1000m	MP3_D3_1000m_ss	MP3_D3_1000m_ss_mean	MP3_D3_1000m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	1000	meso	1014.524	34.9348	-0.3674	-0.4098	5.71905	8.12779	0.0366	0.039	28.0725		0.017		0.002				53.2	638.4	16.4	4.9	68.2	10.9	0.1		11.43	11.53	0.94	7.41	44.59	8.78	3.72	4.34	0.36	0.31	11.99	49.48	593.81	4.56	63.84	0.28	10.85					217.217	32.533	0	32.533	10.01	61.562	4.004		7.51E+03	1.89E+03	7.82E+04	7.02E+04	1.59E+04	1.64E+05	0.34	10.41	354.854	20.02	1423.423		0.031310671	0.018510601	0.0298484	0.03339762	1.835254492	1.549964	2.215531	0.131316	0.073741		0.96872	-10.631849	27.127951
205	MP3_D3_750m	MP3_D3_750m_ss	MP3_D3_750m_ss_mean	MP3_D3_750m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	750	meso	760.277	35.0027	0.811	0.7735	5.89175	7.8749	0.0718	0.041	28.0603		0.028		0.003				54.3	651.6	15.8	4.9	68.3	11.1	0		10.92	10.92	0.86	5.78	52.31	6.21	4.36	5.51	0.8	0.39	11.08	49.94	599.29	4.49	62.81	0.28	11.13					309.309	143.143	3.003	140.14	15.516	14.515	2.002		1.19E+04	3.04E+03	1.41E+05	9.21E+04	1.31E+04	2.46E+05	0.34	11.85	315.315	23.023	2284.284		0.021377404	0.011618148	0.021552525	0.034727468	1.8031796	1.565543	2.295594	0.128471	0.073199		0.974109	-10.966884	25.71547
206	MP3_D3_500m	MP3_D3_500m_ss	MP3_D3_500m_ss_mean	MP3_D3_500m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	500	meso	505.317	35.0925	2.4236	2.3931	5.75025	7.55035	0.071	0.061	28.0106		0.04		0.004				93.1	1117.2	11.7	1.4	19	68.5	0		10.34	10.34	0.78	5.14	45.18	6.04	3.77	4.59	0.9	0.33	11.49	89.33	1072.02	1.03	14.45	0.09	86.54					366.867	203.203	7.508	195.695	25.025	29.029	3.504		1.46E+04	3.76E+03	1.72E+05	1.17E+05	1.72E+04	3.07E+05	0.35	11.81	395.896	28.028	2520.521														
207	MP3_D3_200m	MP3_D3_200m_ss	MP3_D3_200m_ss_mean	MP3_D3_200m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	200	meso	202.04	35.1307	3.2842	3.271	5.71004	7.38704	0.0957	0.063	27.9626		0.058		0.003				54.8	657.6	15.1	5.9	83.2	9.2	0.01		9.15	9.16	0.64	4.28	52.7	3.74	4.39	6.15	2.08	0.44	9.99	50.41	604.9	5.5	77.01	0.36	9.16					1100.1	218.719	17.017	201.702	71	58.559	4.004		1.82E+04	4.28E+03	1.99E+05	1.19E+05	1.61E+04	3.34E+05	0.31	10.92	332.832	27.027	3669.169		0.030911955	0.017382359	0.02944946	0.044330204	1.84042441	2.74486	8.642843	0.156288	0.089501		0.988411	-19.113161	30.316991
208	MP3_D3_100m	MP3_D3_100m_ss	MP3_D3_100m_ss_mean	MP3_D3_100m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	100	epi	101.601	35.1426	3.5649	3.5582	5.76191	7.33513	0.4358	0.096	27.9444		0.53		0.033				80.2	962.4	12.1	2.6	35.7	31.5	0.02		9.53	9.55	0.68	4.45	89.6	1.13	7.47	12.41	1.19	0.89	8.42	72.73	872.8	1.66	23.29	0.14	43.72					6353.854	698.198	117.117	581.081	290	71.071	28.028		3.64E+04	8.59E+03	2.95E+05	1.32E+05	1.95E+04	4.47E+05	0.31	8.1	285.428	33.55	9330.496		0.049210489	0.028760759	0.041793995	0.024573266	1.926278015	1.4769	1.205146	0.14116	0.085888		0.948256	-0.15292	23.145673
209	MP3_D3_50m	MP3_D3_50m_ss	MP3_D3_50m_ss_mean	MP3_D3_50m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	50	epi	50.037	35.1424	3.5659	3.5626	5.76457	7.33496	0.4874	0.102	27.9442		0.603		0.043				55.7	668.4	14.3	4.8	67.1	11.6	0.1		9.41	9.51	0.67	4.45	88.11	13.59	7.34	9.17	0.41	0.66	11.21	48.36	580.29	4.13	57.89	0.29	11.7					6606.713	713.928	117.735	596.193	284	82.164	28.056		3.66E+04	9.04E+03	2.10E+05	1.63E+05	2.18E+04	3.96E+05	0.33	5.75	311.623	46.593	9770.541														
210	MP3_D3_30m	MP3_D3_30m_ss	MP3_D3_30m_ss_mean	MP3_D3_30m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	30	epi	30.696	35.1426	3.5698	3.5678	5.75843	7.33424	0.4829	0.106	27.9439		0.549		0.036				102.4	1228.8	12.1	2.7	38.4	37.4	0.09		9.27	9.36	0.72	4.46	101.31	1.27	8.44	10.74	0.88	0.77	11	93.96	1127.49	1.97	27.62	0.16	47.63					6541.813	684.527	115.173	569.354	290	78.618	24.537		3.67E+04	8.64E+03	2.75E+05	1.33E+05	2.06E+04	4.29E+05	0.31	7.49	296.092	47.595	9934.87														
211	MP3_D3_20m	MP3_D3_20m_ss	MP3_D3_20m_ss_mean	MP3_D3_20m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	20	epi	21.671	35.1433	3.5716	3.5701	5.784	7.33389	0.3528	0.102	27.9443		0.494		0.041				116.6	1399.2	11.4	2.2	30.4	53.7	0.02		9.21	9.23	0.6	4.37	77.34	6.61	6.44	9.04	0.52	0.65	9.98	110.16	1321.86	1.52	21.34	0.13	72.25					6822.233	685.028	110.666	574.362	336	71.607	28.543		3.53E+04	7.92E+03	2.45E+05	1.33E+05	1.99E+04	3.98E+05	0.29	6.93	270.906	40.561	9085.628		0.051768427	0.030258614	0.044350325	0.033333804	1.90942366	2.122327	4.604961	0.160171	0.095687		0.98475	-15.48295	25.535235
212	MP3_D3_10m	MP3_D3_10m_ss	MP3_D3_10m_ss_mean	MP3_D3_10m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	10	epi	9.686	35.143	3.5727	3.572	5.76448	7.33369	0.2258	0.1	27.944		0.512		0.037				60.1	721.2	14.1	4.5	63.6	13.2	0.18		9.38	9.56	0.76	4.51																		6444.667	689.534	113.671	575.863	273	71.107	25.038		3.61E+04	7.97E+03	2.45E+05	1.31E+05	2.11E+04	3.98E+05	0.28	6.79	317.134	43.587	9678.357														
213	MP3_D3_2m	MP3_D3_2m_ss	MP3_D3_2m_ss_mean	MP3_D3_2m_nonss_mean	MP3	D3	2014-05-25T10:48:00	17.05.14	79.001	7.098	1231	2	epi	2.357	35.1431	3.5949	3.5948	5.77771	7.32965	0.231	0.106	27.9418		0.502		0.045				81.6	979.2	10.9	1.5	20.6	55.5	0.24		9.19	9.43	0.67	4.2	88.8	5.19	7.4	8.44	0.55	0.6	12.27	74.2	890.4	0.87	12.14	0.08	85.58					7215.431	778.557	149.299	629.258	296	75.651	32.565		3.76E+04	8.79E+03	2.69E+05	1.36E+05	2.16E+04	4.26E+05	0.3	7.14	264.897	32.048	9604.407		0.100024183	0.062040361	0.083936219	0.03428911	1.877876117	1.917315	2.260462	0.215398	0.139399		0.953098	-7.270459	22.421212
